상품명,가격,지역
제습기,"10,000원",충북 청주시 서원구 분평동
��[판매중] 한라봉 실컷 먹을 기회. 하우스 못난이 한라봉 5KG/10KG,"20,000원",제주 서귀포시 표선면
미니 스타우브 팔아요( 가격을 3만원으로 올렸는데 잘못올라갔어요),"30,000원",경기도 성남시 분당구 삼평동
예초기 판매합니다,"40,000원",대구 달서구 월성동
담양 70평 풀빌라펜션 양도합니다.,"330,000원",광주 광산구 수완동
다이슨청소기세트,"10,000원",광주 북구 중흥1동
전남친 선물 비비안웨스트우드 목걸이,"30,000원",서울 동대문구 전농동
컴퓨터 데스크탑,"30,000원",충남 천안시 동남구 신방동
청풍명월쌀 10kg 판매,"5,000원",대전 서구 용문동
묵은김치,"17,000원",광주 서구 마륵동
제습기,"5,000원",대구 달서구 본동
갤럭시21플러스 256 블랙 급처,"130,000원",울산 남구 달동
"유럽상추 4kg 10,000원","10,000원",충북 진천군 이월면
TIO 65인치TV판매합니다,"30,000원",경기도 평택시 동삭동
전남친이 선물해주고 2일망에 헤어져서 팔어요,"15,000원",광주 광산구 첨단2동
딸기 ㅡ오전에. 작업중인 딸기 4.5번,"8,000원",전남 순천시 서면
맘스보드 회전책장,"20,000원",대전 유성구 상대동
제발 사주세요`,"10,000원",경기도 김포시 장기동
제습기 청소해서 쓰실분~,"10,000원",충남 서산시 예천동
찹쌀 20kg,"35,000원",경기도 안양시 동안구 부림동
21년 구입한 파세코 창문형 에어컨(긴 설치키트 포함),"35,000원",서울 동대문구 답십리동
트롤리 판매합니다!(5000원),"5,000원",대구 달서구 두류동
lg휘센 제습기,"50,000원",경기도 파주시 야당동
오늘 작업합니다 1.7k 10000 1통 남았어요,"10,000원",경남 김해시 장유3동
무선으로만 충전되는 아이폰;;;,"40,000원",서울 서대문구 대현동
사주 봐드립니다 (사주 공부중),"3,500원",서울 동대문구 휘경동
아이폰 12 pro 128기가,"380,000원",대전 중구 문화1동
타이니모빌,"25,000원",서울 동작구 사당동
